Поисковый запрос,№ Кампании,Название кампании,№ Группы,Название группы,Тип условия показа,Ключевая фраза,Тип соответствия,Категория запроса,Упоминания брендов в запросах,Название пакетной стратегии,Тип стратегии,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Подобранная фраза,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика
сколько стоит несколько сеансов к психологу,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-
психотерапевт кпт краснодар,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,50.76,1,1,0,0.00,-,100.00,50.76,1.56,64.07,156.08,1.00,1.00
работает ли кпт специалист с тревожным расстройством,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог при тревоге -онлайн,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-
семейный психолог славянка шушары спб недорого,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.82,0.00,81.84,3.00,-
фильмы про жестокое отношение сайт психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Пословное,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психолог онлайн консультация недорого,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психолог краснодар цены,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.17,0.00,116.88,2.00,-
б 18 сайт психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психолог в подольске консультация цена взрослый,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
платный психолог на выезд,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.58,0.00,58.16,3.00,-
анонимная помощь психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
консультация врача психотерапевта онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
сколько стоит прием у психолога регрессолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.95,0.00,94.86,2.00,-
психотерапевт онлайн краснодар шадрин,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,психотерапевт онлайн  -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психотерапевт онлайн краснодар,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,психотерапевт онлайн  -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
индивидуальные консультации психолог может проводить дистанционно или онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Пословное,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.05,0.00,104.88,3.00,-
помощь психолога при панических атаках,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог при тревоге -онлайн,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.11,0.00,110.94,2.00,-
услуги психолога онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
стоимость консультации психолога в ростове на дону,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,1.00,-
психолог мусульманин казань консультация цены на услуг,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
мир психологии журнал официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,психология сайт,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-
электронный психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.34,0.00,133.98,1.00,-
сколько стоит сеанс когнитивно поведенческая терапии в спб,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.94,0.00,94.40,1.00,-
психологи онлайн которые ветут прием в виде домашнего питомца,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психолог шелега виктория стоимость приема,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,-,-
психолог кпт подольск,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психолог уфа цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
рутуб сайт квантовый психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Пословное,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-
невролог который работает с тревожностью краснодар,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
портал для психологов и психотерапевтов,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,портал психолога,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
зеркало души сайт психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
https психологхабаровск рф,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.60,0.00,160.11,1.00,-
академия современной психологии официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,психология сайт,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
сайт психосоматолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.30,0.00,130.24,1.00,-
анетта орлова психолог официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Пословное,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
хороший психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.60,0.00,59.75,3.00,-
вероника хлебова психолог консультация цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психолог сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.78,0.00,77.84,2.00,-
переписка с психологом,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,51.45,1,1,0,0.00,-,100.00,51.45,0.95,105.59,94.70,2.00,2.00
кпт терапия казань,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психология и я журнал официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,психология сайт,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
диагностика у психолога цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
ирина крылова психолог сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Пословное,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-
онлайн семейный психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,-,-
марина макаренко психолог официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.01,0.00,101.16,1.00,-
психолог в россии,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.09,0.00,108.74,1.00,-
психолог в долгопрудном дистанционно,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
не общаться с родственниками алкоголиками сайт психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.06,0.00,6.31,6.00,-
любовь ротенберг психолог цена приема,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
любовь розенберг психолог цена приема,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
хороший психолог воскресенск,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.54,0.00,53.67,3.00,-
психолог надежда аркадьевна цена в доктор гст,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
юлия уткина нейропсихолог сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.61,0.00,61.23,2.00,-
сайт когнитивно поведенческих терапевтов,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.97,0.00,96.58,3.00,-
кпт психолог спб,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.88,0.00,88.14,1.00,-
сайт российский где все психологи страны,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.89,0.00,88.78,3.00,-
гранат психологический центр официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
записаться к психологу,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
кпт сообщество волгоград,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
услуги психолога цена за час,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психологическая помощь онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,онлайн психологический  -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
где в воронеже можно провести сессию с психологом,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.87,0.00,87.07,2.00,-
маркетплейс психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.91,0.00,91.19,2.00,-
психолог дефек,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
дарья гинзбург психолог сколько стоит личный прием,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.19,0.00,118.88,1.00,-
ленинградский областной центр психического здоровья официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,психический сайт,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
лучшие психологи тревожное расстройство екатеринбург психотерапевт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог при тревоге -онлайн,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-
статистика по запросу найти психолог челябинск,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.03,0.00,102.77,1.00,-
поговорить о психологии,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.30,0.00,130.25,2.00,-
понять и простить сайт психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,34.21,1,1,0,0.00,-,100.00,34.21,1.60,62.61,159.72,1.00,1.00
психолог ви,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
когнитивно поведенческая терапия в нижнем новгороде,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.96,0.00,95.53,3.00,-
сохрани семью психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.76,0.00,75.78,1.00,-
психоаналитик цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
кирьянова анна валентиновна психолог официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
какие условия взаимодействия психолога и клиента были разрушены с развитием онлайн консультирования,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Пословное,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
точка опоры сайт психология,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
специалист по кпт,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
постоянная тревога и хочется плакать что назначает невролог,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог при тревоге -онлайн,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.79,0.00,79.02,2.00,-
семейный психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Узкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
к кому из врачей обращаться с тревожностью,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог при тревоге -онлайн,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.44,0.00,44.42,6.00,-
может ли психолог работать с тревожным депрессивным расстройством,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог по тревожным расстройствам,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
сеанс психолога цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
гцппмсп рф психологи,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.24,0.00,124.21,1.00,-
кпт в психологи,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
лучшие квалифицированные психотерапевты и психологи в краснодаре для семейных пар онлайн и офлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.07,0.00,7.31,3.00,-
илья шабшин психолог официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
психолог ул луначарского 31 цены,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
ирина ковалева психолог официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Пословное,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-
психологи от 2000 рублей новосибирск,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
