Поисковый запрос,№ Кампании,Название кампании,№ Группы,Название группы,Тип условия показа,Ключевая фраза,Тип соответствия,Категория запроса,Упоминания брендов в запросах,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Формат,Источник текста,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,Подобранная фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Название пакетной стратегии,Тип стратегии,Тип кампании,Статус кампании,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
психотерапевт кпт в воронеже цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
психолог санкт петербург онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,6–10%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.21,0.00,121.46,2.00,-,-,-
психотерапевт в москве тревожные состояния,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог для работы с тревожностью и беспокойством,Конфиденциально. Защищенные каналы связи.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,Старше 55,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,35.71,1,1,0,0.00,-,100.00,35.71,0.06,1791.31,5.58,-,-,0.00,1.00
лодыгина 10 цена психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог по работе с тревогой. Конфиденциально,Бесплатная вводная встреча. Конкретные техники. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,25-34 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
ассоциация психологов россии официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Пословное,Сопутствующие запросы,Запросы без упоминания брендов,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.96,0.00,95.71,1.00,-,-,-
психолог цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
мария орлова москва сайт психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
мария орлова личный сайт психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,-,-,-,-
психотерапевт онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,КПТ-психология онлайн. Бесплатная вводная встреча,Конфиденциально. Конкретные техники и упражнения. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,Старше 55,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
ирина ковалева психолог стоимость консультации москва,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог при тревожности. Онлайн.,Разберитесь с тревожными состояниями. Конфиденциально. Без обязательств.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,45-54 года,2–5%,Не определено,консультация психолог стоимость,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
консультация онлайн психотерапевта,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн по методу КПТ.,Конфиденциальные консультации. Без обязательств. Помощь в вашем случае.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
психолог юлия никитина яндекс услуги,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог по работе с тревогой. Конфиденциально,Бесплатная вводная встреча. Конкретные техники. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.06,0.00,5.58,7.00,-,-,-
хасьминский михаил игоревич кризисный психолог официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,Старше 55,6–10%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.61,0.00,60.76,1.00,-,-,-
psychologist aksay ru,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
б16 сайт психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
яндекс здоровье психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн по методу КПТ.,Конфиденциальные консультации. Без обязательств. Помощь в вашем случае.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,25-34 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.41,0.00,41.00,3.00,-,-,-
стоимость услуг психолога в перми,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,Не определен,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.16,0.00,15.94,2.00,-,-,-
когнитивно поведенческая терапия коломна,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
средняя стоимость психолога в москве,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Топ 1%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
портал психологических услуг www lanberg ru,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн по методу КПТ.,Конфиденциальные консультации. Без обязательств. Помощь в вашем случае.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,45-54 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.30,0.00,30.15,3.00,-,-,-
портал для психологов и психотерапевтов дпо санкт петербург,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн по методу КПТ.,Конфиденциальные консультации. Без обязательств. Помощь в вашем случае.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,портал психолога,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-,-,-
психолог красноярск консультация цены,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог для работы с тревожностью и беспокойством,Конфиденциально. Защищенные каналы связи.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
психолог лариса суркова сайт официальный,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,КПТ-психология онлайн. Бесплатная вводная встреча,Конфиденциально. Конкретные техники и упражнения. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-,-,-
психологи 1 рф,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн по методу КПТ.,Конфиденциальные консультации. Без обязательств. Помощь в вашем случае.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.52,0.00,151.69,1.00,-,-,-
анонимная онлайн психологическая помощь,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,137.22,1,1,0,0.00,-,100.00,137.22,1.38,72.31,138.29,5.00,5.00,100.00,1.00
к какому врачу обращаться при панических атаках и тревоге и страхе,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,помощь психолога при тревоге,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,"Помощь при тревожности. Конфиденциально, онлайн",Психолог Ксения Парваткина. Структурированный подход с практическими техниками.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
сервис ясно психотерапия,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,услуги психолога онлайн,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,КПТ. Онлайн-консультации с психологом.,Помогу разобраться с тревожными состояниями. Конфиденциально. Без обязательств.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.62,0.00,61.80,2.00,-,-,-
психотерапевты тревожные расстройства и прл москва,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по тревожности. Помогу вернуть спокойствие,Конфиденциально. Научные методы. Конкретные техники. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.71,0.00,70.73,3.00,-,-,-
когнитивно поведенческая терапия в подольске,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.34,0.00,134.14,2.00,-,-,-
ипохондрия тревожное расстройство психотерапевт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,помощь психолога при тревоге,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,114.37,1,1,0,0.00,-,100.00,114.37,1.62,61.75,161.95,3.00,3.00,100.00,1.00
телемедицинская консультация психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.17,0.00,116.89,2.00,-,-,-
психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. КПТ. Бесплатная встреча (30 минут),Конфиденциальная работа. Конкретные техники. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.98,0.00,97.99,3.00,-,-,-
кпт психолог москва,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн по методу КПТ.,Конфиденциальные консультации. Без обязательств. Помощь в вашем случае.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Оригинальный,Мужской,25-34 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
сайт психолога владимира ряхина,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Помогу справиться с тревогой,Конфиденциально. Защищенные каналы связи. Помощь в конкретном результате.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Не определен,Не определен,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
яндекс услуги психолог никитина юлия,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,6–10%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.06,0.00,6.31,6.00,-,-,-
частный клинический психолог москва цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.10,0.00,109.98,2.00,-,-,-
онлайн консультации воронеж,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Оригинальный,Мужской,45-54 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,26.36,1,1,1,100.00,26.36,100.00,26.36,1.18,84.46,118.40,1.00,1.00,0.00,1.00
в17 психология официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. КПТ. Бесплатная встреча (30 минут),Конфиденциальная работа. Конкретные техники. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,45-54 года,6–10%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
